instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_category
22,2011-01-01,Spring,2011,1,21,0,Sat,0,Misty,0.4,0.4091,0.87,0.194,3,31,34,Malam (21–04)
23,2011-01-01,Spring,2011,1,22,0,Sat,0,Misty,0.4,0.4091,0.94,0.2239,11,17,28,Malam (21–04)
24,2011-01-01,Spring,2011,1,23,0,Sat,0,Misty,0.46,0.4545,0.88,0.2985,15,24,39,Malam (21–04)
25,2011-01-02,Spring,2011,1,0,0,Sun,0,Misty,0.46,0.4545,0.88,0.2985,4,13,17,Malam (21–04)
26,2011-01-02,Spring,2011,1,1,0,Sun,0,Misty,0.44,0.4394,0.94,0.2537,1,16,17,Malam (21–04)
27,2011-01-02,Spring,2011,1,2,0,Sun,0,Misty,0.42,0.4242,1.0,0.2836,1,8,9,Malam (21–04)
28,2011-01-02,Spring,2011,1,3,0,Sun,0,Misty,0.46,0.4545,0.94,0.194,2,4,6,Malam (21–04)
29,2011-01-02,Spring,2011,1,4,0,Sun,0,Misty,0.46,0.4545,0.94,0.194,2,1,3,Malam (21–04)
30,2011-01-02,Spring,2011,1,6,0,Sun,0,Light Snow/Rain,0.42,0.4242,0.77,0.2985,0,2,2,Pagi (05–11)
31,2011-01-02,Spring,2011,1,7,0,Sun,0,Misty,0.4,0.4091,0.76,0.194,0,1,1,Pagi (05–11)
32,2011-01-02,Spring,2011,1,8,0,Sun,0,Light Snow/Rain,0.4,0.4091,0.71,0.2239,0,8,8,Pagi (05–11)
33,2011-01-02,Spring,2011,1,9,0,Sun,0,Misty,0.38,0.3939,0.76,0.2239,1,19,20,Pagi (05–11)
34,2011-01-02,Spring,2011,1,10,0,Sun,0,Misty,0.36,0.3485,0.81,0.2239,7,46,53,Pagi (05–11)
35,2011-01-02,Spring,2011,1,11,0,Sun,0,Misty,0.36,0.3333,0.71,0.2537,16,54,70,Pagi (05–11)
36,2011-01-02,Spring,2011,1,12,0,Sun,0,Misty,0.36,0.3333,0.66,0.2985,20,73,93,Siang (12–16)
37,2011-01-02,Spring,2011,1,13,0,Sun,0,Misty,0.36,0.3485,0.66,0.1343,11,64,75,Siang (12–16)
38,2011-01-02,Spring,2011,1,14,0,Sun,0,Light Snow/Rain,0.36,0.3485,0.76,0.194,4,55,59,Siang (12–16)
39,2011-01-02,Spring,2011,1,15,0,Sun,0,Light Snow/Rain,0.34,0.3333,0.81,0.1642,19,55,74,Siang (12–16)
40,2011-01-02,Spring,2011,1,16,0,Sun,0,Light Snow/Rain,0.34,0.3333,0.71,0.1642,9,67,76,Siang (12–16)
41,2011-01-02,Spring,2011,1,17,0,Sun,0,Clear,0.34,0.3333,0.57,0.194,7,58,65,Sore (17–20)
42,2011-01-02,Spring,2011,1,18,0,Sun,0,Misty,0.36,0.3333,0.46,0.3284,10,43,53,Sore (17–20)
43,2011-01-02,Spring,2011,1,19,0,Sun,0,Clear,0.32,0.2879,0.42,0.4478,1,29,30,Sore (17–20)
44,2011-01-02,Spring,2011,1,20,0,Sun,0,Clear,0.3,0.2727,0.39,0.3582,5,17,22,Sore (17–20)
45,2011-01-02,Spring,2011,1,21,0,Sun,0,Clear,0.26,0.2273,0.44,0.3284,11,20,31,Malam (21–04)
46,2011-01-02,Spring,2011,1,22,0,Sun,0,Clear,0.24,0.2121,0.44,0.2985,0,9,9,Malam (21–04)
47,2011-01-02,Spring,2011,1,23,0,Sun,0,Clear,0.22,0.2273,0.47,0.1642,0,8,8,Malam (21–04)
48,2011-01-03,Spring,2011,1,0,0,Mon,1,Clear,0.22,0.197,0.44,0.3582,0,5,5,Malam (21–04)
49,2011-01-03,Spring,2011,1,1,0,Mon,1,Clear,0.2,0.1667,0.44,0.4179,0,2,2,Malam (21–04)
50,2011-01-03,Spring,2011,1,4,0,Mon,1,Clear,0.16,0.1364,0.47,0.3881,0,1,1,Malam (21–04)
51,2011-01-03,Spring,2011,1,5,0,Mon,1,Clear,0.16,0.1364,0.47,0.2836,0,3,3,Pagi (05–11)
52,2011-01-03,Spring,2011,1,6,0,Mon,1,Clear,0.14,0.1061,0.5,0.3881,0,30,30,Pagi (05–11)
53,2011-01-03,Spring,2011,1,7,0,Mon,1,Clear,0.14,0.1364,0.5,0.194,1,63,64,Pagi (05–11)
54,2011-01-03,Spring,2011,1,8,0,Mon,1,Clear,0.14,0.1212,0.5,0.2836,1,153,154,Pagi (05–11)
55,2011-01-03,Spring,2011,1,9,0,Mon,1,Clear,0.16,0.1364,0.43,0.3881,7,81,88,Pagi (05–11)
56,2011-01-03,Spring,2011,1,10,0,Mon,1,Clear,0.18,0.1667,0.43,0.2537,11,33,44,Pagi (05–11)
57,2011-01-03,Spring,2011,1,11,0,Mon,1,Clear,0.2,0.1818,0.4,0.3284,10,41,51,Pagi (05–11)
58,2011-01-03,Spring,2011,1,12,0,Mon,1,Clear,0.22,0.2121,0.35,0.2985,13,48,61,Siang (12–16)
59,2011-01-03,Spring,2011,1,13,0,Mon,1,Clear,0.24,0.2121,0.35,0.2836,8,53,61,Siang (12–16)
60,2011-01-03,Spring,2011,1,14,0,Mon,1,Clear,0.26,0.2424,0.3,0.2836,11,66,77,Siang (12–16)
61,2011-01-03,Spring,2011,1,15,0,Mon,1,Clear,0.26,0.2424,0.3,0.2537,14,58,72,Siang (12–16)
62,2011-01-03,Spring,2011,1,16,0,Mon,1,Clear,0.26,0.2424,0.3,0.2537,9,67,76,Siang (12–16)
63,2011-01-03,Spring,2011,1,17,0,Mon,1,Clear,0.24,0.2273,0.3,0.2239,11,146,157,Sore (17–20)
64,2011-01-03,Spring,2011,1,18,0,Mon,1,Clear,0.24,0.2576,0.32,0.1045,9,148,157,Sore (17–20)
65,2011-01-03,Spring,2011,1,19,0,Mon,1,Clear,0.2,0.2576,0.47,0.0,8,102,110,Sore (17–20)
66,2011-01-03,Spring,2011,1,20,0,Mon,1,Clear,0.2,0.2273,0.47,0.1045,3,49,52,Sore (17–20)
67,2011-01-03,Spring,2011,1,21,0,Mon,1,Clear,0.18,0.197,0.64,0.1343,3,49,52,Malam (21–04)
68,2011-01-03,Spring,2011,1,22,0,Mon,1,Clear,0.14,0.1515,0.69,0.1343,0,20,20,Malam (21–04)
69,2011-01-03,Spring,2011,1,23,0,Mon,1,Clear,0.18,0.2121,0.55,0.1045,1,11,12,Malam (21–04)
70,2011-01-04,Spring,2011,1,0,0,Tue,1,Clear,0.16,0.1818,0.55,0.1045,0,5,5,Malam (21–04)
71,2011-01-04,Spring,2011,1,1,0,Tue,1,Clear,0.16,0.1818,0.59,0.1045,0,2,2,Malam (21–04)
72,2011-01-04,Spring,2011,1,2,0,Tue,1,Clear,0.14,0.1515,0.63,0.1343,0,1,1,Malam (21–04)
73,2011-01-04,Spring,2011,1,4,0,Tue,1,Clear,0.14,0.1818,0.63,0.0896,0,2,2,Malam (21–04)
74,2011-01-04,Spring,2011,1,5,0,Tue,1,Clear,0.12,0.1515,0.68,0.1045,0,4,4,Pagi (05–11)
75,2011-01-04,Spring,2011,1,6,0,Tue,1,Clear,0.12,0.1515,0.74,0.1045,0,36,36,Pagi (05–11)
76,2011-01-04,Spring,2011,1,7,0,Tue,1,Clear,0.12,0.1515,0.74,0.1343,2,92,94,Pagi (05–11)
77,2011-01-04,Spring,2011,1,8,0,Tue,1,Clear,0.14,0.1515,0.69,0.1642,2,177,179,Pagi (05–11)
78,2011-01-04,Spring,2011,1,9,0,Tue,1,Clear,0.16,0.1515,0.64,0.2239,2,98,100,Pagi (05–11)
79,2011-01-04,Spring,2011,1,10,0,Tue,1,Misty,0.16,0.1364,0.69,0.3284,5,37,42,Pagi (05–11)
80,2011-01-04,Spring,2011,1,11,0,Tue,1,Clear,0.22,0.2121,0.51,0.2985,7,50,57,Pagi (05–11)
81,2011-01-04,Spring,2011,1,12,0,Tue,1,Clear,0.22,0.2273,0.51,0.1642,12,66,78,Siang (12–16)
82,2011-01-04,Spring,2011,1,13,0,Tue,1,Clear,0.24,0.2273,0.56,0.194,18,79,97,Siang (12–16)
83,2011-01-04,Spring,2011,1,14,0,Tue,1,Clear,0.26,0.2576,0.52,0.2239,9,54,63,Siang (12–16)
84,2011-01-04,Spring,2011,1,15,0,Tue,1,Clear,0.28,0.2727,0.52,0.2537,17,48,65,Siang (12–16)
85,2011-01-04,Spring,2011,1,16,0,Tue,1,Clear,0.3,0.2879,0.49,0.2537,15,68,83,Siang (12–16)
86,2011-01-04,Spring,2011,1,17,0,Tue,1,Clear,0.28,0.2727,0.48,0.2239,10,202,212,Sore (17–20)
87,2011-01-04,Spring,2011,1,18,0,Tue,1,Clear,0.26,0.2576,0.48,0.194,3,179,182,Sore (17–20)
88,2011-01-04,Spring,2011,1,19,0,Tue,1,Clear,0.24,0.2576,0.48,0.1045,2,110,112,Sore (17–20)
89,2011-01-04,Spring,2011,1,20,0,Tue,1,Clear,0.24,0.2576,0.48,0.1045,1,53,54,Sore (17–20)
90,2011-01-04,Spring,2011,1,21,0,Tue,1,Clear,0.22,0.2727,0.64,0.0,0,48,48,Malam (21–04)
91,2011-01-04,Spring,2011,1,22,0,Tue,1,Clear,0.22,0.2576,0.64,0.0896,1,34,35,Malam (21–04)
92,2011-01-04,Spring,2011,1,23,0,Tue,1,Clear,0.2,0.2273,0.69,0.0896,2,9,11,Malam (21–04)
93,2011-01-05,Spring,2011,1,0,0,Wed,1,Clear,0.2,0.2576,0.64,0.0,0,6,6,Malam (21–04)
94,2011-01-05,Spring,2011,1,1,0,Wed,1,Clear,0.16,0.197,0.74,0.0896,0,6,6,Malam (21–04)
95,2011-01-05,Spring,2011,1,2,0,Wed,1,Clear,0.16,0.197,0.74,0.0896,0,2,2,Malam (21–04)
96,2011-01-05,Spring,2011,1,4,0,Wed,1,Clear,0.24,0.2273,0.48,0.2239,0,2,2,Malam (21–04)
97,2011-01-05,Spring,2011,1,5,0,Wed,1,Clear,0.22,0.2273,0.47,0.1642,0,3,3,Pagi (05–11)
98,2011-01-05,Spring,2011,1,6,0,Wed,1,Clear,0.2,0.197,0.47,0.2239,0,33,33,Pagi (05–11)
99,2011-01-05,Spring,2011,1,7,0,Wed,1,Clear,0.18,0.1818,0.43,0.194,1,87,88,Pagi (05–11)
100,2011-01-05,Spring,2011,1,8,0,Wed,1,Clear,0.2,0.1818,0.4,0.2985,3,192,195,Pagi (05–11)
101,2011-01-05,Spring,2011,1,9,0,Wed,1,Clear,0.22,0.197,0.37,0.3284,6,109,115,Pagi (05–11)
102,2011-01-05,Spring,2011,1,10,0,Wed,1,Clear,0.22,0.197,0.37,0.3284,4,53,57,Pagi (05–11)
103,2011-01-05,Spring,2011,1,11,0,Wed,1,Clear,0.26,0.2273,0.33,0.3284,12,34,46,Pagi (05–11)
104,2011-01-05,Spring,2011,1,12,0,Wed,1,Clear,0.26,0.2273,0.33,0.3284,5,74,79,Siang (12–16)
105,2011-01-05,Spring,2011,1,13,0,Wed,1,Clear,0.28,0.2576,0.3,0.2985,6,65,71,Siang (12–16)
106,2011-01-05,Spring,2011,1,14,0,Wed,1,Clear,0.3,0.2879,0.28,0.194,10,52,62,Siang (12–16)
107,2011-01-05,Spring,2011,1,15,0,Wed,1,Clear,0.3,0.2879,0.28,0.194,7,55,62,Siang (12–16)
108,2011-01-05,Spring,2011,1,16,0,Wed,1,Clear,0.3,0.3182,0.28,0.0896,4,85,89,Siang (12–16)
109,2011-01-05,Spring,2011,1,17,0,Wed,1,Clear,0.24,0.2273,0.38,0.194,4,186,190,Sore (17–20)
110,2011-01-05,Spring,2011,1,18,0,Wed,1,Clear,0.24,0.2424,0.38,0.1343,3,166,169,Sore (17–20)
111,2011-01-05,Spring,2011,1,19,0,Wed,1,Clear,0.24,0.2576,0.38,0.1045,5,127,132,Sore (17–20)
112,2011-01-05,Spring,2011,1,20,0,Wed,1,Clear,0.22,0.2273,0.47,0.1642,7,82,89,Sore (17–20)
113,2011-01-05,Spring,2011,1,21,0,Wed,1,Clear,0.2,0.197,0.51,0.194,3,40,43,Malam (21–04)
114,2011-01-05,Spring,2011,1,22,0,Wed,1,Clear,0.18,0.197,0.55,0.1343,1,41,42,Malam (21–04)
115,2011-01-05,Spring,2011,1,23,0,Wed,1,Clear,0.2,0.2576,0.47,0.0,1,18,19,Malam (21–04)
116,2011-01-06,Spring,2011,1,0,0,Thu,1,Clear,0.18,0.2424,0.55,0.0,0,11,11,Malam (21–04)
117,2011-01-06,Spring,2011,1,1,0,Thu,1,Clear,0.16,0.2273,0.64,0.0,0,4,4,Malam (21–04)
118,2011-01-06,Spring,2011,1,2,0,Thu,1,Clear,0.16,0.2273,0.64,0.0,0,2,2,Malam (21–04)
119,2011-01-06,Spring,2011,1,4,0,Thu,1,Misty,0.16,0.197,0.64,0.0896,0,1,1,Malam (21–04)
120,2011-01-06,Spring,2011,1,5,0,Thu,1,Misty,0.14,0.1818,0.69,0.0896,0,4,4,Pagi (05–11)
121,2011-01-06,Spring,2011,1,6,0,Thu,1,Misty,0.14,0.1667,0.63,0.1045,0,36,36,Pagi (05–11)
122,2011-01-06,Spring,2011,1,7,0,Thu,1,Misty,0.16,0.2273,0.59,0.0,0,95,95,Pagi (05–11)
123,2011-01-06,Spring,2011,1,8,0,Thu,1,Clear,0.16,0.2273,0.59,0.0,3,216,219,Pagi (05–11)
124,2011-01-06,Spring,2011,1,9,0,Thu,1,Misty,0.18,0.2424,0.51,0.0,6,116,122,Pagi (05–11)
125,2011-01-06,Spring,2011,1,10,0,Thu,1,Clear,0.2,0.2576,0.47,0.0,3,42,45,Pagi (05–11)
126,2011-01-06,Spring,2011,1,11,0,Thu,1,Clear,0.22,0.2576,0.44,0.0896,2,57,59,Pagi (05–11)
127,2011-01-06,Spring,2011,1,12,0,Thu,1,Clear,0.26,0.2879,0.35,0.0,6,78,84,Siang (12–16)
128,2011-01-06,Spring,2011,1,13,0,Thu,1,Clear,0.26,0.2727,0.35,0.1045,12,55,67,Siang (12–16)
129,2011-01-06,Spring,2011,1,14,0,Thu,1,Clear,0.28,0.2727,0.36,0.1642,11,59,70,Siang (12–16)
130,2011-01-06,Spring,2011,1,15,0,Thu,1,Clear,0.28,0.2727,0.36,0.0,8,54,62,Siang (12–16)
131,2011-01-06,Spring,2011,1,16,0,Thu,1,Clear,0.26,0.2576,0.38,0.1642,12,74,86,Siang (12–16)
132,2011-01-06,Spring,2011,1,17,0,Thu,1,Clear,0.22,0.2273,0.51,0.1642,9,163,172,Sore (17–20)
133,2011-01-06,Spring,2011,1,18,0,Thu,1,Clear,0.22,0.2273,0.51,0.1343,5,158,163,Sore (17–20)
134,2011-01-06,Spring,2011,1,19,0,Thu,1,Clear,0.22,0.2576,0.55,0.0896,3,109,112,Sore (17–20)
135,2011-01-06,Spring,2011,1,20,0,Thu,1,Clear,0.2,0.2121,0.51,0.1642,3,66,69,Sore (17–20)
136,2011-01-06,Spring,2011,1,21,0,Thu,1,Misty,0.22,0.2121,0.55,0.2239,0,48,48,Malam (21–04)
137,2011-01-06,Spring,2011,1,22,0,Thu,1,Misty,0.22,0.2121,0.51,0.2836,1,51,52,Malam (21–04)
138,2011-01-06,Spring,2011,1,23,0,Thu,1,Misty,0.2,0.197,0.59,0.194,4,19,23,Malam (21–04)
139,2011-01-07,Spring,2011,1,0,0,Fri,1,Misty,0.2,0.197,0.64,0.194,4,13,17,Malam (21–04)
140,2011-01-07,Spring,2011,1,1,0,Fri,1,Misty,0.2,0.197,0.69,0.2239,2,5,7,Malam (21–04)
141,2011-01-07,Spring,2011,1,2,0,Fri,1,Misty,0.2,0.197,0.69,0.2239,0,1,1,Malam (21–04)
142,2011-01-07,Spring,2011,1,4,0,Fri,1,Misty,0.2,0.2121,0.69,0.1343,0,1,1,Malam (21–04)
143,2011-01-07,Spring,2011,1,5,0,Fri,1,Light Snow/Rain,0.22,0.2727,0.55,0.0,0,5,5,Pagi (05–11)
144,2011-01-07,Spring,2011,1,6,0,Fri,1,Misty,0.2,0.2576,0.69,0.0,8,26,34,Pagi (05–11)
145,2011-01-07,Spring,2011,1,7,0,Fri,1,Clear,0.2,0.2121,0.69,0.1343,8,76,84,Pagi (05–11)
146,2011-01-07,Spring,2011,1,8,0,Fri,1,Clear,0.2,0.197,0.51,0.2537,20,190,210,Pagi (05–11)
147,2011-01-07,Spring,2011,1,9,0,Fri,1,Clear,0.2,0.1818,0.47,0.2985,9,125,134,Pagi (05–11)
148,2011-01-07,Spring,2011,1,10,0,Fri,1,Clear,0.22,0.197,0.37,0.3284,16,47,63,Pagi (05–11)
149,2011-01-07,Spring,2011,1,11,0,Fri,1,Misty,0.2,0.197,0.4,0.2239,19,48,67,Pagi (05–11)
150,2011-01-07,Spring,2011,1,12,0,Fri,1,Misty,0.2,0.197,0.37,0.2537,9,50,59,Siang (12–16)
151,2011-01-07,Spring,2011,1,13,0,Fri,1,Misty,0.2,0.1818,0.37,0.2836,9,64,73,Siang (12–16)
152,2011-01-07,Spring,2011,1,14,0,Fri,1,Misty,0.2,0.197,0.4,0.2537,7,43,50,Siang (12–16)
153,2011-01-07,Spring,2011,1,15,0,Fri,1,Misty,0.2,0.2121,0.37,0.1642,9,63,72,Siang (12–16)
154,2011-01-07,Spring,2011,1,16,0,Fri,1,Misty,0.2,0.2121,0.37,0.1642,5,82,87,Siang (12–16)
155,2011-01-07,Spring,2011,1,17,0,Fri,1,Misty,0.2,0.2576,0.37,0.0,9,178,187,Sore (17–20)
156,2011-01-07,Spring,2011,1,18,0,Fri,1,Clear,0.2,0.2273,0.4,0.0896,7,116,123,Sore (17–20)
157,2011-01-07,Spring,2011,1,19,0,Fri,1,Clear,0.16,0.197,0.55,0.0896,3,92,95,Sore (17–20)
158,2011-01-07,Spring,2011,1,20,0,Fri,1,Clear,0.18,0.2121,0.47,0.1045,1,50,51,Sore (17–20)
159,2011-01-07,Spring,2011,1,21,0,Fri,1,Clear,0.18,0.197,0.47,0.1343,0,39,39,Malam (21–04)
160,2011-01-07,Spring,2011,1,22,0,Fri,1,Misty,0.18,0.197,0.43,0.1642,2,34,36,Malam (21–04)
161,2011-01-07,Spring,2011,1,23,0,Fri,1,Misty,0.18,0.197,0.51,0.1642,1,14,15,Malam (21–04)
162,2011-01-08,Spring,2011,1,0,0,Sat,0,Misty,0.18,0.197,0.51,0.1642,1,24,25,Malam (21–04)
163,2011-01-08,Spring,2011,1,1,0,Sat,0,Misty,0.18,0.2121,0.55,0.0896,1,15,16,Malam (21–04)
164,2011-01-08,Spring,2011,1,2,0,Sat,0,Misty,0.18,0.2424,0.55,0.0,3,13,16,Malam (21–04)
165,2011-01-08,Spring,2011,1,3,0,Sat,0,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,7,7,Malam (21–04)
166,2011-01-08,Spring,2011,1,4,0,Sat,0,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,1,1,Malam (21–04)
167,2011-01-08,Spring,2011,1,5,0,Sat,0,Misty,0.16,0.1667,0.74,0.1642,0,5,5,Pagi (05–11)
168,2011-01-08,Spring,2011,1,6,0,Sat,0,Misty,0.16,0.1667,0.74,0.1642,0,2,2,Pagi (05–11)
169,2011-01-08,Spring,2011,1,7,0,Sat,0,Misty,0.16,0.1818,0.74,0.1045,1,8,9,Pagi (05–11)
170,2011-01-08,Spring,2011,1,8,0,Sat,0,Light Snow/Rain,0.16,0.1818,0.93,0.1045,0,15,15,Pagi (05–11)
171,2011-01-08,Spring,2011,1,9,0,Sat,0,Light Snow/Rain,0.16,0.1818,0.93,0.1045,0,20,20,Pagi (05–11)
172,2011-01-08,Spring,2011,1,10,0,Sat,0,Misty,0.18,0.197,0.8,0.1642,5,56,61,Pagi (05–11)
173,2011-01-08,Spring,2011,1,11,0,Sat,0,Misty,0.2,0.1818,0.69,0.3881,2,60,62,Pagi (05–11)
174,2011-01-08,Spring,2011,1,12,0,Sat,0,Misty,0.2,0.1818,0.59,0.3582,8,90,98,Siang (12–16)
175,2011-01-08,Spring,2011,1,13,0,Sat,0,Clear,0.2,0.1818,0.44,0.3284,7,95,102,Siang (12–16)
176,2011-01-08,Spring,2011,1,14,0,Sat,0,Clear,0.2,0.1667,0.32,0.4925,12,83,95,Siang (12–16)
177,2011-01-08,Spring,2011,1,15,0,Sat,0,Clear,0.2,0.1667,0.32,0.4478,5,69,74,Siang (12–16)
178,2011-01-08,Spring,2011,1,16,0,Sat,0,Clear,0.18,0.1364,0.29,0.4478,8,68,76,Siang (12–16)
179,2011-01-08,Spring,2011,1,17,0,Sat,0,Clear,0.16,0.1212,0.37,0.5522,5,64,69,Sore (17–20)
180,2011-01-08,Spring,2011,1,18,0,Sat,0,Clear,0.14,0.1212,0.39,0.2985,3,52,55,Sore (17–20)
181,2011-01-08,Spring,2011,1,19,0,Sat,0,Clear,0.14,0.1212,0.36,0.2537,4,26,30,Sore (17–20)
182,2011-01-08,Spring,2011,1,20,0,Sat,0,Clear,0.12,0.1212,0.36,0.2537,0,28,28,Sore (17–20)
183,2011-01-08,Spring,2011,1,21,0,Sat,0,Clear,0.12,0.1061,0.39,0.3582,2,35,37,Malam (21–04)
184,2011-01-08,Spring,2011,1,22,0,Sat,0,Clear,0.12,0.1061,0.36,0.3881,1,33,34,Malam (21–04)
185,2011-01-08,Spring,2011,1,23,0,Sat,0,Clear,0.1,0.0606,0.39,0.4478,0,22,22,Malam (21–04)
186,2011-01-09,Spring,2011,1,0,0,Sun,0,Clear,0.1,0.0758,0.42,0.3881,1,24,25,Malam (21–04)
187,2011-01-09,Spring,2011,1,1,0,Sun,0,Clear,0.1,0.0606,0.42,0.4627,0,12,12,Malam (21–04)
188,2011-01-09,Spring,2011,1,2,0,Sun,0,Clear,0.1,0.0606,0.46,0.4627,0,11,11,Malam (21–04)
189,2011-01-09,Spring,2011,1,3,0,Sun,0,Clear,0.1,0.0758,0.46,0.4179,0,4,4,Malam (21–04)
190,2011-01-09,Spring,2011,1,4,0,Sun,0,Clear,0.08,0.0909,0.53,0.194,0,1,1,Malam (21–04)
191,2011-01-09,Spring,2011,1,5,0,Sun,0,Clear,0.08,0.0909,0.53,0.194,0,1,1,Pagi (05–11)
192,2011-01-09,Spring,2011,1,6,0,Sun,0,Clear,0.1,0.0909,0.49,0.2836,0,1,1,Pagi (05–11)
193,2011-01-09,Spring,2011,1,7,0,Sun,0,Clear,0.08,0.0909,0.53,0.194,1,5,6,Pagi (05–11)
194,2011-01-09,Spring,2011,1,8,0,Sun,0,Clear,0.1,0.0909,0.49,0.2836,0,10,10,Pagi (05–11)
195,2011-01-09,Spring,2011,1,9,0,Sun,0,Clear,0.12,0.0758,0.46,0.5224,0,19,19,Pagi (05–11)
196,2011-01-09,Spring,2011,1,10,0,Sun,0,Clear,0.14,0.1061,0.43,0.3881,0,49,49,Pagi (05–11)
197,2011-01-09,Spring,2011,1,11,0,Sun,0,Clear,0.16,0.1212,0.4,0.5224,2,47,49,Pagi (05–11)
198,2011-01-09,Spring,2011,1,12,0,Sun,0,Clear,0.18,0.1364,0.37,0.4478,4,79,83,Siang (12–16)
199,2011-01-09,Spring,2011,1,13,0,Sun,0,Clear,0.2,0.1667,0.34,0.4478,6,69,75,Siang (12–16)
200,2011-01-09,Spring,2011,1,14,0,Sun,0,Clear,0.22,0.1818,0.32,0.4627,8,64,72,Siang (12–16)
201,2011-01-09,Spring,2011,1,15,0,Sun,0,Clear,0.22,0.197,0.35,0.3582,5,77,82,Siang (12–16)
202,2011-01-09,Spring,2011,1,16,0,Sun,0,Clear,0.2,0.1667,0.34,0.4478,13,79,92,Siang (12–16)
203,2011-01-09,Spring,2011,1,17,0,Sun,0,Clear,0.18,0.1515,0.37,0.3881,3,59,62,Sore (17–20)
204,2011-01-09,Spring,2011,1,18,0,Sun,0,Clear,0.16,0.1364,0.4,0.3284,4,44,48,Sore (17–20)
205,2011-01-09,Spring,2011,1,19,0,Sun,0,Clear,0.16,0.1364,0.43,0.3284,1,40,41,Sore (17–20)
206,2011-01-09,Spring,2011,1,20,0,Sun,0,Clear,0.14,0.1212,0.46,0.2537,0,38,38,Sore (17–20)
207,2011-01-09,Spring,2011,1,21,0,Sun,0,Clear,0.14,0.1061,0.46,0.4179,1,19,20,Malam (21–04)
208,2011-01-09,Spring,2011,1,22,0,Sun,0,Clear,0.14,0.1212,0.46,0.2985,5,10,15,Malam (21–04)
209,2011-01-09,Spring,2011,1,23,0,Sun,0,Clear,0.12,0.1364,0.5,0.194,0,6,6,Malam (21–04)
210,2011-01-10,Spring,2011,1,0,0,Mon,1,Clear,0.12,0.1212,0.5,0.2836,2,3,5,Malam (21–04)
211,2011-01-10,Spring,2011,1,1,0,Mon,1,Clear,0.12,0.1212,0.5,0.2836,1,0,1,Malam (21–04)
212,2011-01-10,Spring,2011,1,2,0,Mon,1,Clear,0.12,0.1212,0.5,0.2239,0,3,3,Malam (21–04)
